term,frequency
dumps,0.10617836961511332
tearfulness,0.10617836961511332
harming,0.10617836961511332
hless,0.10617836961511332
motivation,0.10617836961511332
guilt,0.10617836961511332
inadequate,0.10617836961511332
blaming,0.10617836961511332
wo,0.10617836961511332
esteem,0.10617836961511332
self,0.10617836961511332
others,0.10617836961511332
colleagues,0.10617836961511332
loneliness,0.10617836961511332
spending,0.10617836961511332
avoiding,0.10617836961511332
criticizing,0.10617836961511332
decreased,0.10617836961511332
increased,0.10617836961511332
worrying,0.10617836961511332
extreme,0.10617836961511332
plan,0.10617836961511332
depression,0.10617836961511332
suicidal,0.10617836961511332
end,0.10617836961511332
shame,0.10617836961511332
effo,0.09873948361754957
hours,0.0968395705240512
keeping,0.09253871462540789
help,0.09253871462540789
fearful,0.09253871462540789
blues,0.09253871462540789
shake,0.09253871462540789
mind,0.09253871462540789
thought,0.09253871462540789
eating,0.09253871462540789
bother,0.09253871462540789
usually,0.09253871462540789
dislike,0.09253871462540789
bothered,0.09253871462540789
happy,0.09253871462540789
talked,0.09253871462540789
lonely,0.09253871462540789
unfriendly,0.09253871462540789
enjoyed,0.09253871462540789
hopeful,0.09253871462540789
going,0.09253871462540789
physical,0.08953899079081241
unattractive,0.08953899079081241
pounds,0.08953899079081241
anymore,0.08953899079081241
hard,0.08953899079081241
back,0.08953899079081241
cannot,0.08953899079081241
problems,0.08953899079081241
pa,0.08953899079081241
else,0.08953899079081241
general,0.06033749105353359
food,0.06033749105353359
amount,0.06033749105353359
slump,0.06033749105353359
temporary,0.06033749105353359
distinct,0.06033749105353359
two,0.06033749105353359
cravings,0.06033749105353359
weeks,0.06033749105353359
experienced,0.06033749105353359
significant,0.06033749105353359
late,0.06033749105353359
although,0.06033749105353359
dieting,0.06033749105353359
daytime,0.06033749105353359
workers,0.06033749105353359
thinking,0.06033749105353359
death,0.06033749105353359
longer,0.06033749105353359
length,0.06033749105353359
nighttime,0.06033749105353359
naps,0.06033749105353359
waking,0.06033749105353359
social,0.06033749105353359
activity,0.06033749105353359
included,0.06033749105353359
co,0.06033749105353359
total,0.06033749105353359
letting,0.06033749105353359
napping,0.06033749105353359
mostly,0.06033749105353359
summer,0.06033749105353359
whether,0.06033749105353359
earlier,0.05969266052720827
blame,0.05969266052720827
changes,0.05969266052720827
permanent,0.05969266052720827
person,0.05969266052720827
old,0.05969266052720827
looking,0.05969266052720827
wake,0.05969266052720827
kill,0.05969266052720827
icularly,0.05969266052720827
almost,0.05969266052720827
disappointed,0.05969266052720827
killing,0.05969266052720827
ever,0.05969266052720827
think,0.05969266052720827
interested,0.05969266052720827
quite,0.05969266052720827
appearance,0.05969266052720827
forward,0.029846330263604136
stand,0.029846330263604136
nothing,0.029846330263604136
snap,0.029846330263604136
bored,0.029846330263604136
improve,0.029846330263604136
failed,0.029846330263604136
average,0.029846330263604136
see,0.029846330263604136
failures,0.029846330263604136
complete,0.029846330263604136
enjoy,0.029846330263604136
real,0.029846330263604136
dissatisfied,0.029846330263604136
expect,0.029846330263604136
may,0.029846330263604136
disgusted,0.029846330263604136
annoyed,0.029846330263604136
hate,0.029846330263604136
extra,0.029846330263604136
find,0.029846330263604136
chance,0.029846330263604136
push,0.029846330263604136
something,0.029846330263604136
ed,0.029846330263604136
sta,0.029846330263604136
able,0.029846330263604136
takes,0.029846330263604136
anybody,0.029846330263604136
ugly,0.029846330263604136
believe,0.029846330263604136
though,0.029846330263604136
greater,0.029846330263604136
put,0.029846330263604136
want,0.029846330263604136
slightly,0.029846330263604136
several,0.029846330263604136
easily,0.029846330263604136
carry,0.029846330263604136
lately,0.029846330263604136
critical,0.029846330263604136
mistakes,0.029846330263604136
deal,0.029846330263604136
faults,0.029846330263604136
happens,0.029846330263604136
completely,0.029846330263604136
recent,0.029846330263604136
constipation,0.029846330263604136
stomach,0.029846330263604136
upset,0.029846330263604136
pains,0.029846330263604136
aches,0.029846330263604136
fifteen,0.029846330263604136
ten,0.029846330263604136
five,0.029846330263604136
weaknesses,0.029846330263604136
