term,frequency
set,0.46193999494308535
movement,0.46177791870749263
mum,0.4604642575270912
cat,0.4593670580726932
dropped,0.4585020673225118
housing,0.4575045054485525
looting,0.455572406586331
extra,0.45514098811943127
boys,0.45456671380519825
telling,0.45431181516593366
running,0.45247802730955433
year,0.4507229107364741
considerable,0.4499068585783824
slowly,0.44800502065542575
electrical,0.44760636052415237
trying,0.44643035323795394
severe,0.4460947895183088
difficulties,0.44591978622926093
th,0.4447351851308493
waited,0.4446961130736549
stand,0.4440925418252902
repaired,0.44319670756064966
light,0.4420287735033369
possibly,0.44194101426212784
fully,0.4418714616864908
middle,0.4409152364850681
sell,0.4401611655349283
regular,0.4398464821752806
camp,0.43984439654536855
ive,0.4391747566145715
helicopter,0.4388766466379933
war,0.438148043954434
cut,0.4373972869138562
within,0.43726567467855515
boulders,0.43626433797363473
move,0.4348743190120646
instead,0.4344502895882075
warning,0.4342163206507922
ward,0.4336863467284379
straight,0.43241475512061855
bomb,0.43174359082790914
whatever,0.4311683556540443
trapped,0.4310551731287845
sight,0.43086550655993194
tell,0.4304511060881982
hutt,0.43038817831811205
broken,0.43029559389947375
fucking,0.4302737541239377
waves,0.4301427089531838
transpo,0.42873427494471317
learned,0.4282461709042771
challenges,0.4271834105620122
situation,0.4265689974596847
abordo,0.42650942485918664
remembers,0.4262038838891168
gave,0.42561027678391683
officials,0.4256027563981436
caused,0.42391480094328843
anymore,0.4229967225229682
want,0.42164814397397177
mostly,0.4201208801060641
supply,0.4196399205412187
clearly,0.41931924109532587
country,0.41900463825862017
need,0.4189732368867757
propeies,0.4188957410234812
wood,0.4184228389159941
repos,0.41810120834935227
close,0.41777433142724796
let,0.4171024726836915
intact,0.41674610977353543
yard,0.4166399821391268
lots,0.41627202139509456
care,0.4154713382692349
remembered,0.41506962640765965
government,0.41489140747548514
couldnt,0.4148847395696929
robot,0.4133653750694418
mountain,0.41320114509595596
quickly,0.41272018327831544
kitchen,0.41257492169206345
ago,0.4124076415368768
injured,0.4104040913021836
someone,0.41017928829375483
waiting,0.40862786675306007
woken,0.40779146569256297
basas,0.4066300580697789
noticed,0.4063025786606219
despair,0.4059626455062265
visibility,0.4056584685186285
nervous,0.40552390095761837
extremely,0.40521717096398946
primary,0.40465095253157324
shed,0.403771651380768
material,0.4028081898976597
beds,0.4018889913940485
six,0.401531018841207
station,0.40109481246846396
young,0.4007787789244881
stood,0.4000185205247327
future,0.39964919588995257
couple,0.3983571294542083
secure,0.398354883749022
vendors,0.3977673750024723
fence,0.3972331155462965
line,0.397123748493685
looking,0.3963806812023556
nobody,0.3961704961420874
strange,0.39553495226049157
eyes,0.39536193377858375
drop,0.3951587060150818
